Sample name	Superpopulation code
SC_GMFUL5309733	AFR
HG01443	AMR
HG01696	EUR
Ul31	
NA12778	EUR
SC_GMFUL5306424	AFR
HG01599	EAS
HG01761	EUR
HGDP01344	
NA12812	EUR
SC_GMFUL5309702	AFR
HG01602	EUR
HG01766	EUR
Mansi79	
NA12817	EUR
SC_GMFUL5306359	AFR
HG01607	EUR
HG01672	EUR
NA15202	
NA12829	EUR
SC_GMFUL5306361	AFR
HG01532	EUR
HG01677	EUR
HGDP00656	
NA12843	EUR
SC_GMFUL5306431	AFR
HG01537	EUR
HG01805	EAS
Nlk18	
NA12413	EUR
SC_GMFUL5306347	AFR
HG01551	AMR
HG01812	EAS
HGDP01015	
NA12716	EUR
SC_GMFUL5306385	AFR
HG01518	EUR
HG01704	EUR
IHW9193	
NA18500	AFR
SC_GMJOL5309813	AFR
HG01520	EUR
HG01797	EAS
HGDP01286	
NA18505	AFR
SC_GMJOL5309837	AFR
HG01525	EUR
HG01800	EAS
TGBS21	
NA12761	EUR
SC_GMWOF5428778	AFR
HG01493	AMR
HG01785	EUR
Ul5	
NA12874	EUR
SC_GMWOF5428812	AFR
HG01498	AMR
HG01874	EAS
BulgarianB4	
NA18517	AFR
SC_GMWOF5428797	AFR
HG01501	EUR
HG01879	AFR
ND19394	
NA18485	AFR
SC_GMWOF5428805	AFR
HG01506	EUR
HG01881	AFR
NA18497	AFR
SC_GMWOF5428723	AFR
HG01513	EUR
HG01918	AMR
NA18909	AFR
SC_GMWOF5428747	AFR
HG01556	AMR
HG01920	AMR
NA18911	AFR
SC_GMWOF5428716	AFR
HG01614	EUR
HG01925	AMR
NA18916	AFR
SC_GMJOL5309844	AFR
HG01594	SAS
HG01893	AMR
NA18923	AFR
SC_GMJOL5309868	AFR
HG01784	EUR
HG01898	AMR
NA18930	AFR
SC_GMJOL5309875	AFR
HG01789	EUR
HG01932	AMR
NA18935	AFR
SC_GMJOL5309820	AFR
HG01791	EUR
HG01937	AMR
NA18853	AFR
SC_GMWOF5428843	AFR
HG01619	EUR
HG01944	AMR
NA18858	AFR
SC_GMWOF5428867	AFR
HG01621	EUR
HG01949	AMR
NA18860	AFR
SC_GMWOF5428850	AFR
HG01626	EUR
HG01848	EAS
NA18740	EAS
SC_GMWOF5428874	AFR
HG01708	EUR
HG01850	EAS
NA18745	EAS
SC_GMWOF5428728	AFR
HG01710	EUR
HG01855	EAS
NA18757	EAS
SC_GMWOF5428829	AFR
HG01746	EUR
HG01817	EAS
NA18795	EAS
SC_GMMAN5482300	AFR
HG01633	EUR
HG01843	EAS
NA18632	EAS
SC_GMMAN5482324	AFR
HG01669	EUR
HG01886	AFR
NA18637	EAS
SC_GMMAN5482348	AFR
HG01671	EUR
HG01862	EAS
NA18865	AFR
SC_GMMAN5482285	AFR
HG01772	EUR
HG01867	EAS
NA18872	AFR
SC_GMMAN5482216	AFR
HG01777	EUR
HG02024	EAS
NA18877	AFR
SC_GMMAN5482177	AFR
HG01683	EUR
HG02029	EAS
NA18942	EAS
SC_GMMAN5482209	AFR
HG01695	EUR
HG02031	EAS
NA18947	EAS
SC_GMMAN5482266	AFR
HG01676	EUR
HG01968	AMR
NA18644	EAS
SC_GMMAN5482292	AFR
HG01765	EUR
HG01970	AMR
NA19166	AFR
NA18594	EAS
HG01703	EUR
HG01975	AMR
NA19173	AFR
HGDP00045	
HG01873	EAS
HG02055	AFR
NA19185	AFR
HGDP00052	
HG01878	EAS
HG02067	EAS
NA19154	AFR
HGDP00057	
HG01880	AFR
HG01951	AMR
NA19159	AFR
HGDP00064	
HG01885	AFR
HG01956	AFR
NA19161	AFR
HGDP00007	
HG01892	AMR
HG02017	EAS
NA19089	EAS
HGDP00021	
HG01816	EAS
HG02012	AFR
NA19091	EAS
HGDP00033	
HG01842	EAS
HG02048	EAS
NA19096	AFR
HGDP00538	
HG01847	EAS
HG02050	EAS
NA19123	AFR
HGDP00540	
HG01917	AMR
HG01982	AMR
NA19128	AFR
HGDP00545	
HG01924	AMR
